problem,click_depth,filter_depth,iterative_distance,number_filters,query_frequency,relevant_new_info,number_measures,consideration_time,elapsed_time,number_cells,rqp,iterative_precision,click_per_query,view_area_increase,execution_time,number_aggregations,aggregation_depth,iterative_recall,number_queries,expected
dibstudent03--2016-09-25--15-42.log-8,-0.2634135673,-0.3753098313,-0.7047755645,-0.488242589,0.9316945387,-1.100854877,-0.1105679236,-0.4059213712,-0.8810499929,-0.2271356339,-1.2355782563,0.9372741394,-0.291077698,-0.1444585767,-0.1340952822,-0.2836421386,-0.8412725695,0.956849521,-0.9187272165,0
dibstudent03--2016-09-25--15-42.log-9,-0.4989636035,-0.3753098313,-0.7047755645,-0.488242589,1.0419384353,-1.100854877,-0.1105679236,-0.1299192635,-0.8794350922,-0.2271356339,-1.1758850111,0.9372741394,-0.291077698,-0.1444585767,-0.1530425831,-0.2836421386,-0.8412725695,0.956849521,-0.8696258907,0
dibstudent03--2016-09-25--15-56.log-10,-0.7345136397,-0.3753098313,-0.2094252255,-0.488242589,-0.3056296892,-1.102026459,-0.1105679236,-0.2689761785,-0.5723068951,-0.2106044981,-1.0675528253,0.9372741394,-0.6175567376,-0.1444585767,-0.1469955721,-0.2836421386,-0.8412725695,-0.0967670454,-0.8205245649,0
dibstudent03--2016-09-25--15-56.log-11,-0.7345136397,-0.3753098313,0.2859251136,-0.488242589,-0.2933222077,-0.4127776659,-1.2843878567,-0.1004607371,-0.5588105655,-0.2106044981,-1.0034378582,-1.1869082721,2.3207546189,-0.1444585767,-0.1530425831,-0.2836421386,-0.8412725695,-1.1503836119,-0.7714232391,0
dibstudent03--2016-09-25--15-56.log-12,1.1498866499,-0.3753098313,0.2859251136,-0.488242589,-0.2916850346,-0.8965352299,-0.1105679236,-0.3326144391,-0.5305720511,-0.2106044981,-0.9393228912,-1.1869082721,2.3207546189,0.1824333963,-0.1155511153,-0.2836421386,-0.8412725695,-1.1503836119,-0.7223219133,0
dibstudent03--2016-09-25--15-56.log-13,0.9143366137,-0.3753098313,-0.2094252255,-0.488242589,-0.2774859169,0.4895152056,1.0632520095,-0.352404294,-0.5225773767,-0.190767135,-0.8752079241,-0.1248170664,1.3413175001,-0.1444585767,-0.1469955721,-0.2836421386,-0.8412725695,0.956849521,-0.6732205875,0
dibstudent03--2016-09-25--15-56.log-14,0.6787865775,-0.3753098313,-0.7047755645,-0.488242589,-0.2627280972,0.4895152056,1.0632520095,-0.3863426885,-0.5161976029,-0.190767135,-0.811092957,0.9372741394,1.3413175001,-0.1444585767,-0.1155511153,-0.2836421386,-0.8412725695,0.956849521,-0.6241192617,1
dibstudent03--2016-09-25--15-56.log-15,0.4432365413,-0.3753098313,-0.7047755645,-0.488242589,-0.2463390353,0.4895152056,1.0632520095,-0.3964940394,-0.5127204627,-0.190767135,-0.7469779899,0.9372741394,1.3413175001,-0.1444585767,-0.1026508254,-0.2836421386,-0.8412725695,0.956849521,-0.5750179359,1
dibstudent03--2016-09-25--15-56.log-16,0.2076865051,-0.3753098313,-0.7047755645,-0.488242589,-0.2294627722,0.4895152056,1.0632520095,-0.3875192195,-0.5102470735,-0.190767135,-0.6828630229,0.9372741394,1.3413175001,-0.1444585767,-0.1405454272,-0.2836421386,-0.8412725695,0.956849521,-0.5259166101,1
dibstudent03--2016-09-25--15-56.log-17,-0.0278635311,-0.3753098313,-0.7047755645,-0.488242589,-0.2134820297,0.4895152056,1.0632520095,-0.3950761687,-0.5068929483,-0.190767135,-0.6187480558,0.9372741394,1.3413175001,-0.1444585767,-0.1091009703,-0.2836421386,-0.8412725695,0.956849521,-0.4768152843,1
